;SUBJECT_ID;;IP;;;;QUESTION_ID;IMAGE_ID;GT_ANSWER;MODEL;COLOR_COND;GT_CONFORM;DATASET;EXP_LIST;;ANSW_CORRECT;EXPL_CONS_ANSW;EXPL_CONS_IMG;EXPL_FLUENT;SHAPES;COLORS;MATERIALS;GEN_SCENE;COMPETENT;
id;ijpk8fnsl29q13m10r26p843mi;ip;102.182.145.176;time;1713346266;data;Next;;;;;;;;;;;;;;;;;;
id;b9r28qacnel5ltego0uoou0eur;ip;102.32.9.39;time;1713346268;data;5f8038ceefbc9f02632dce3c;38;male;native;Next;;;;;;;;;;;;;;
id;e9tp7afdn8ptttgqtf795dq5d7;ip;91.132.119.128;time;1713346271;data;609816af06a82ee11ced664a;44;female;native;Next;;;;;;;;;;;;;;
id;9gkjtro726mfqqmb0am4r7q1fa;ip;118.82.138.99;time;1713346274;data;Yes;;;;;;;;;;;;;;;;;;
id;37rd6qbgbl10o0amt5nu9r27oe;ip;86.128.157.241;time;1713346294;data;I want to participate;;;;;;;;;;;;;;;;;;
id;37rd6qbgbl10o0amt5nu9r27oe;ip;86.128.157.241;time;1713346301;data;63cffd3baa01359e9681b761;27;female;native;Next;;;;;;;;;;;;;;
id;9gkjtro726mfqqmb0am4r7q1fa;ip;118.82.138.99;time;1713346306;data;"<id:	QUESTION_ID	552504005	";"	IMAGE_ID	552504	";"	GT_ANSWER	flying kite	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	trial	>";<id:>;yes;5;5;5;5;3;3;1;4;Next
id;9gkjtro726mfqqmb0am4r7q1fa;ip;118.82.138.99;time;1713346310;data;Next;;;;;;;;;;;;;;;;;;
id;ijpk8fnsl29q13m10r26p843mi;ip;102.182.145.176;time;1713346310;data;"<id:	QUESTION_ID	131020	";"	IMAGE_ID	13102	";"	GT_ANSWER	rubber	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;yes;4;4;3;3;3;2;3;4;Next
id;gpij5pm8pn78kkkkbj20d9qc4s;ip;136.226.167.75;time;1713346311;data;Yes;;;;;;;;;;;;;;;;;;
id;lb50glagm20deghmgfcsu8mcqd;ip;161.29.238.76;time;1713346319;data;Yes;;;;;;;;;;;;;;;;;;
id;e9tp7afdn8ptttgqtf795dq5d7;ip;91.132.119.128;time;1713346338;data;Yes;;;;;;;;;;;;;;;;;;
id;gpij5pm8pn78kkkkbj20d9qc4s;ip;136.226.167.75;time;1713346342;data;"<id:	QUESTION_ID	552504005	";"	IMAGE_ID	552504	";"	GT_ANSWER	flying kite	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	trial	>";<id:>;yes;5;5;4;5;0;4;5;5;Next
id;gpij5pm8pn78kkkkbj20d9qc4s;ip;136.226.167.75;time;1713346345;data;Next;;;;;;;;;;;;;;;;;;
id;mrcrj55m4mt9tcndjcphpmubce;ip;125.238.194.4;time;1713346345;data;I want to participate;;;;;;;;;;;;;;;;;;
id;9gkjtro726mfqqmb0am4r7q1fa;ip;118.82.138.99;time;1713346345;data;"<id:	QUESTION_ID	14643	";"	IMAGE_ID	14643	";"	GT_ANSWER	red	";"	MODEL	uni-nlx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;no;1;1;3;4;1;1;1;4;Next
id;37rd6qbgbl10o0amt5nu9r27oe;ip;86.128.157.241;time;1713346359;data;Yes;;;;;;;;;;;;;;;;;;
id;mrcrj55m4mt9tcndjcphpmubce;ip;125.238.194.4;time;1713346362;data;65a7decf0c075163aa79694d;24;female;native;Next;;;;;;;;;;;;;;
id;gpij5pm8pn78kkkkbj20d9qc4s;ip;136.226.167.75;time;1713346364;data;"<id:	QUESTION_ID	499400002	";"	IMAGE_ID	499400	";"	GT_ANSWER	yes	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;5;5;5;5;5;4;5;5;Next
id;e9tp7afdn8ptttgqtf795dq5d7;ip;91.132.119.128;time;1713346372;data;"<id:	QUESTION_ID	552504005	";"	IMAGE_ID	552504	";"	GT_ANSWER	flying kite	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	trial	>";<id:>;yes;4;5;4;4;3;4;4;4;Next
id;e9tp7afdn8ptttgqtf795dq5d7;ip;91.132.119.128;time;1713346375;data;Next;;;;;;;;;;;;;;;;;;
id;37rd6qbgbl10o0amt5nu9r27oe;ip;86.128.157.241;time;1713346383;data;"<id:	QUESTION_ID	552504005	";"	IMAGE_ID	552504	";"	GT_ANSWER	flying kite	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	trial	>";<id:>;yes;5;5;5;5;3;4;5;5;Next
id;lb50glagm20deghmgfcsu8mcqd;ip;161.29.238.76;time;1713346383;data;"<id:	QUESTION_ID	552504005	";"	IMAGE_ID	552504	";"	GT_ANSWER	flying kite	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	trial	>";<id:>;yes;5;5;5;5;0;0;0;4;Next
id;37rd6qbgbl10o0amt5nu9r27oe;ip;86.128.157.241;time;1713346384;data;Next;;;;;;;;;;;;;;;;;;
id;9gkjtro726mfqqmb0am4r7q1fa;ip;118.82.138.99;time;1713346386;data;"<id:	QUESTION_ID	530875000	";"	IMAGE_ID	530875	";"	GT_ANSWER	yes	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;no;1;1;2;4;4;2;1;2;Next
id;ijpk8fnsl29q13m10r26p843mi;ip;102.182.145.176;time;1713346389;data;"<id:	QUESTION_ID	14913	";"	IMAGE_ID	14913	";"	GT_ANSWER	large	";"	MODEL	uni-nlx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;yes;5;5;4;5;5;4;4;4;Next
id;ii6i4g9cro2cttgsc0a4tpkhko;ip;176.251.85.195;time;1713346389;data;I want to participate;;;;;;;;;;;;;;;;;;
id;939qfirgca8h31umftrhltlfo3;ip;81.110.5.213;time;1713346390;data;I want to participate;;;;;;;;;;;;;;;;;;
id;lb50glagm20deghmgfcsu8mcqd;ip;161.29.238.76;time;1713346390;data;Next;;;;;;;;;;;;;;;;;;
id;hj9v12fo8htl1s8pke6r7j04lm;ip;106.71.211.153;time;1713346391;data;Yes;;;;;;;;;;;;;;;;;;
id;cpj25nmd8uqscucpqrhc19g8vt;ip;197.184.177.160;time;1713346397;data;I want to participate;;;;;;;;;;;;;;;;;;
id;ii6i4g9cro2cttgsc0a4tpkhko;ip;176.251.85.195;time;1713346401;data;63d141f040c855b7fb494d13;32;female;native;Next;;;;;;;;;;;;;;
id;939qfirgca8h31umftrhltlfo3;ip;81.110.5.213;time;1713346403;data;602cc4e8166df75e2ff9d443;32;female;native;Next;;;;;;;;;;;;;;
id;37rd6qbgbl10o0amt5nu9r27oe;ip;86.128.157.241;time;1713346406;data;"<id:	QUESTION_ID	486104003	";"	IMAGE_ID	486104	";"	GT_ANSWER	baseball	";"	MODEL	pjx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;5;5;5;4;3;4;5;5;Next
id;e9tp7afdn8ptttgqtf795dq5d7;ip;91.132.119.128;time;1713346412;data;"<id:	QUESTION_ID	132487	";"	IMAGE_ID	13249	";"	GT_ANSWER	blue	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;yes;4;5;4;3;5;5;4;4;Next
id;gpij5pm8pn78kkkkbj20d9qc4s;ip;136.226.167.75;time;1713346413;data;"<id:	QUESTION_ID	134537	";"	IMAGE_ID	13454	";"	GT_ANSWER	cyan	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;no;5;1;2;4;1;3;2;2;Next
id;cpj25nmd8uqscucpqrhc19g8vt;ip;197.184.177.160;time;1713346414;data;5fa7f2d31418d35a96331337;36;female;native;Next;;;;;;;;;;;;;;
id;hj9v12fo8htl1s8pke6r7j04lm;ip;106.71.211.153;time;1713346428;data;"<id:	QUESTION_ID	552504005	";"	IMAGE_ID	552504	";"	GT_ANSWER	flying kite	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	trial	>";<id:>;yes;5;5;4;4;3;4;5;5;Next
id;9gkjtro726mfqqmb0am4r7q1fa;ip;118.82.138.99;time;1713346431;data;"<id:	QUESTION_ID	131020	";"	IMAGE_ID	13102	";"	GT_ANSWER	rubber	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;0;3;4;4;2;4;3;3;4;Next
id;gpij5pm8pn78kkkkbj20d9qc4s;ip;136.226.167.75;time;1713346436;data;"<id:	QUESTION_ID	134288004	";"	IMAGE_ID	134288	";"	GT_ANSWER	orange	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;no;4;1;1;5;1;1;1;1;Next
id;hj9v12fo8htl1s8pke6r7j04lm;ip;106.71.211.153;time;1713346439;data;Next;;;;;;;;;;;;;;;;;;
id;dq8bav397tgn2ogba0mig5ctm2;ip;51.52.157.194;time;1713346440;data;I want to participate;;;;;;;;;;;;;;;;;;
id;37rd6qbgbl10o0amt5nu9r27oe;ip;86.128.157.241;time;1713346445;data;"<id:	QUESTION_ID	118161	";"	IMAGE_ID	11817	";"	GT_ANSWER	red	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;no;4;3;4;4;1;4;4;2;Next
id;jkmhg4n2iti9t0hnp8rh0414si;ip;196.24.72.17;time;1713346447;data;I want to participate;;;;;;;;;;;;;;;;;;
id;e9tp7afdn8ptttgqtf795dq5d7;ip;91.132.119.128;time;1713346447;data;"<id:	QUESTION_ID	96075000	";"	IMAGE_ID	96075	";"	GT_ANSWER	sunny	";"	MODEL	pjx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;4;3;2;0;4;4;4;3;Next
id;a5j7edl8p6sjus2pjn78scn1g4;ip;159.196.12.55;time;1713346448;data;I want to participate;;;;;;;;;;;;;;;;;;
id;vdd90gnt22g6br2de52l0s2v3b;ip;41.216.201.56;time;1713346451;data;I want to participate;;;;;;;;;;;;;;;;;;
id;ijpk8fnsl29q13m10r26p843mi;ip;102.182.145.176;time;1713346452;data;"<id:	QUESTION_ID	486104003	";"	IMAGE_ID	486104	";"	GT_ANSWER	baseball	";"	MODEL	pjx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;4;5;5;5;5;5;5;5;Next
id;k7292910p27tku1ofv9dnh1e4q;ip;86.6.40.34;time;1713346454;data;I want to participate;;;;;;;;;;;;;;;;;;
id;lb50glagm20deghmgfcsu8mcqd;ip;161.29.238.76;time;1713346455;data;"<id:	QUESTION_ID	381870001	";"	IMAGE_ID	381870	";"	GT_ANSWER	yes	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;0;1;5;5;4;0;4;3;3;Next
id;dq8bav397tgn2ogba0mig5ctm2;ip;51.52.157.194;time;1713346457;data;5c3205407e0559000172f153;32;female;native;Next;;;;;;;;;;;;;;
id;gpij5pm8pn78kkkkbj20d9qc4s;ip;136.226.167.75;time;1713346462;data;"<id:	QUESTION_ID	14913	";"	IMAGE_ID	14913	";"	GT_ANSWER	large	";"	MODEL	uni-nlx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;yes;5;5;5;5;5;4;5;5;Next
id;k7292910p27tku1ofv9dnh1e4q;ip;86.6.40.34;time;1713346463;data;59bbd839ab8d830001fe590a;41;female;native;Next;;;;;;;;;;;;;;
id;9gkjtro726mfqqmb0am4r7q1fa;ip;118.82.138.99;time;1713346465;data;"<id:	QUESTION_ID	571034002	";"	IMAGE_ID	571034	";"	GT_ANSWER	cows	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;1;4;4;1;5;1;3;4;Next
id;vdd90gnt22g6br2de52l0s2v3b;ip;41.216.201.56;time;1713346468;data;60b2827157e043215e6f997e;23;female;native;Next;;;;;;;;;;;;;;
id;a5j7edl8p6sjus2pjn78scn1g4;ip;159.196.12.55;time;1713346468;data;65cbe4a737abca7a65bc98b8;29;male;native;Next;;;;;;;;;;;;;;
id;939qfirgca8h31umftrhltlfo3;ip;81.110.5.213;time;1713346469;data;Yes;;;;;;;;;;;;;;;;;;
id;b9r28qacnel5ltego0uoou0eur;ip;102.32.9.39;time;1713346469;data;Yes;;;;;;;;;;;;;;;;;;
id;mrcrj55m4mt9tcndjcphpmubce;ip;125.238.194.4;time;1713346470;data;Yes;;;;;;;;;;;;;;;;;;
id;gl4d3go82h0gm047tnvohrkdgj;ip;84.70.62.241;time;1713346474;data;I want to participate;;;;;;;;;;;;;;;;;;
id;ii6i4g9cro2cttgsc0a4tpkhko;ip;176.251.85.195;time;1713346477;data;Yes;;;;;;;;;;;;;;;;;;
id;jkmhg4n2iti9t0hnp8rh0414si;ip;196.24.72.17;time;1713346481;data;60c10b5edbaf6c59a7a0df4e;25;female;native;Next;;;;;;;;;;;;;;
id;37rd6qbgbl10o0amt5nu9r27oe;ip;86.128.157.241;time;1713346482;data;"<id:	QUESTION_ID	14970	";"	IMAGE_ID	14970	";"	GT_ANSWER	cyan	";"	MODEL	uni-nlx	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;no;4;2;4;2;2;3;2;2;Next
id;e9tp7afdn8ptttgqtf795dq5d7;ip;91.132.119.128;time;1713346484;data;"<id:	QUESTION_ID	14643	";"	IMAGE_ID	14643	";"	GT_ANSWER	red	";"	MODEL	uni-nlx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;no;3;3;3;3;4;4;3;3;Next
id;gl4d3go82h0gm047tnvohrkdgj;ip;84.70.62.241;time;1713346485;data;603d8785babbb5cf8cd518be;27;female;native;Next;;;;;;;;;;;;;;
id;gpij5pm8pn78kkkkbj20d9qc4s;ip;136.226.167.75;time;1713346486;data;"<id:	QUESTION_ID	381870001	";"	IMAGE_ID	381870	";"	GT_ANSWER	yes	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;no;1;1;1;1;1;4;4;2;Next
id;ijpk8fnsl29q13m10r26p843mi;ip;102.182.145.176;time;1713346491;data;"<id:	QUESTION_ID	132487	";"	IMAGE_ID	13249	";"	GT_ANSWER	blue	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;yes;4;5;4;5;5;5;5;5;Next
id;9gkjtro726mfqqmb0am4r7q1fa;ip;118.82.138.99;time;1713346498;data;"<id:	QUESTION_ID	444626005	";"	IMAGE_ID	444626	";"	GT_ANSWER	yes	";"	MODEL	pjx	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;no;1;1;1;2;4;1;3;3;Next
id;939qfirgca8h31umftrhltlfo3;ip;81.110.5.213;time;1713346502;data;"<id:	QUESTION_ID	552504005	";"	IMAGE_ID	552504	";"	GT_ANSWER	flying kite	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	trial	>";<id:>;yes;5;5;4;4;4;5;5;4;Next
id;gpij5pm8pn78kkkkbj20d9qc4s;ip;136.226.167.75;time;1713346506;data;"<id:	QUESTION_ID	571034002	";"	IMAGE_ID	571034	";"	GT_ANSWER	cows	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;3;5;3;3;5;5;5;4;Next
id;939qfirgca8h31umftrhltlfo3;ip;81.110.5.213;time;1713346510;data;Next;;;;;;;;;;;;;;;;;;
id;ii6i4g9cro2cttgsc0a4tpkhko;ip;176.251.85.195;time;1713346513;data;"<id:	QUESTION_ID	552504005	";"	IMAGE_ID	552504	";"	GT_ANSWER	flying kite	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	trial	>";<id:>;yes;5;5;2;5;3;5;5;5;Next
id;ii6i4g9cro2cttgsc0a4tpkhko;ip;176.251.85.195;time;1713346515;data;Next;;;;;;;;;;;;;;;;;;
id;hj9v12fo8htl1s8pke6r7j04lm;ip;106.71.211.153;time;1713346519;data;"<id:	QUESTION_ID	118108	";"	IMAGE_ID	11811	";"	GT_ANSWER	1	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;yes;5;5;4;5;5;5;5;5;Next
id;k7292910p27tku1ofv9dnh1e4q;ip;86.6.40.34;time;1713346519;data;Yes;;;;;;;;;;;;;;;;;;
id;37rd6qbgbl10o0amt5nu9r27oe;ip;86.128.157.241;time;1713346522;data;"<id:	QUESTION_ID	14913	";"	IMAGE_ID	14913	";"	GT_ANSWER	large	";"	MODEL	uni-nlx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;yes;5;5;5;5;5;5;5;5;Next
id;dq8bav397tgn2ogba0mig5ctm2;ip;51.52.157.194;time;1713346523;data;;;;;;;;;;;;;;;;;;;
id;b9r28qacnel5ltego0uoou0eur;ip;102.32.9.39;time;1713346523;data;"<id:	QUESTION_ID	552504005	";"	IMAGE_ID	552504	";"	GT_ANSWER	flying kite	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	trial	>";<id:>;yes;5;5;5;5;3;4;5;4;Next
id;b9r28qacnel5ltego0uoou0eur;ip;102.32.9.39;time;1713346526;data;Next;;;;;;;;;;;;;;;;;;
id;9gkjtro726mfqqmb0am4r7q1fa;ip;118.82.138.99;time;1713346527;data;"<id:	QUESTION_ID	134288004	";"	IMAGE_ID	134288	";"	GT_ANSWER	orange	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;no;1;4;3;4;1;1;3;3;Next
id;gl4d3go82h0gm047tnvohrkdgj;ip;84.70.62.241;time;1713346530;data;Yes;;;;;;;;;;;;;;;;;;
id;lb50glagm20deghmgfcsu8mcqd;ip;161.29.238.76;time;1713346530;data;"<id:	QUESTION_ID	118108	";"	IMAGE_ID	11811	";"	GT_ANSWER	1	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;no;4;4;4;4;4;1;3;3;Next
id;gpij5pm8pn78kkkkbj20d9qc4s;ip;136.226.167.75;time;1713346531;data;"<id:	QUESTION_ID	96075000	";"	IMAGE_ID	96075	";"	GT_ANSWER	sunny	";"	MODEL	pjx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;0;4;4;3;3;1;4;3;2;Next
id;e9tp7afdn8ptttgqtf795dq5d7;ip;91.132.119.128;time;1713346532;data;"<id:	QUESTION_ID	381870001	";"	IMAGE_ID	381870	";"	GT_ANSWER	yes	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;0;4;4;4;4;0;4;3;4;Next
id;mrcrj55m4mt9tcndjcphpmubce;ip;125.238.194.4;time;1713346532;data;"<id:	QUESTION_ID	552504005	";"	IMAGE_ID	552504	";"	GT_ANSWER	flying kite	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	trial	>";<id:>;yes;5;5;5;5;4;5;5;4;Next
id;mrcrj55m4mt9tcndjcphpmubce;ip;125.238.194.4;time;1713346540;data;Next;;;;;;;;;;;;;;;;;;
id;37rd6qbgbl10o0amt5nu9r27oe;ip;86.128.157.241;time;1713346540;data;"<id:	QUESTION_ID	499400002	";"	IMAGE_ID	499400	";"	GT_ANSWER	yes	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;5;5;5;4;4;4;5;5;Next
id;cpj25nmd8uqscucpqrhc19g8vt;ip;197.184.177.160;time;1713346541;data;Yes;;;;;;;;;;;;;;;;;;
id;939qfirgca8h31umftrhltlfo3;ip;81.110.5.213;time;1713346542;data;"<id:	QUESTION_ID	77	";"	IMAGE_ID	7	";"	GT_ANSWER	no	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;yes;5;4;4;5;4;4;4;5;Next
id;k7292910p27tku1ofv9dnh1e4q;ip;86.6.40.34;time;1713346555;data;"<id:	QUESTION_ID	552504005	";"	IMAGE_ID	552504	";"	GT_ANSWER	flying kite	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	trial	>";<id:>;yes;5;5;5;4;3;4;5;4;Next
id;ii6i4g9cro2cttgsc0a4tpkhko;ip;176.251.85.195;time;1713346555;data;"<id:	QUESTION_ID	338019000	";"	IMAGE_ID	338019	";"	GT_ANSWER	yes	";"	MODEL	pjx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;3;2;4;5;4;5;3;3;Next
id;e9tp7afdn8ptttgqtf795dq5d7;ip;91.132.119.128;time;1713346556;data;"<id:	QUESTION_ID	571034002	";"	IMAGE_ID	571034	";"	GT_ANSWER	cows	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;4;4;4;3;4;4;4;4;Next
id;k7292910p27tku1ofv9dnh1e4q;ip;86.6.40.34;time;1713346557;data;Next;;;;;;;;;;;;;;;;;;
id;gl4d3go82h0gm047tnvohrkdgj;ip;84.70.62.241;time;1713346560;data;"<id:	QUESTION_ID	552504005	";"	IMAGE_ID	552504	";"	GT_ANSWER	flying kite	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	trial	>";<id:>;yes;5;5;3;5;5;5;5;4;Next
id;a5j7edl8p6sjus2pjn78scn1g4;ip;159.196.12.55;time;1713346560;data;Yes;;;;;;;;;;;;;;;;;;
id;gl4d3go82h0gm047tnvohrkdgj;ip;84.70.62.241;time;1713346561;data;Next;;;;;;;;;;;;;;;;;;
id;9gkjtro726mfqqmb0am4r7q1fa;ip;118.82.138.99;time;1713346567;data;"<id:	QUESTION_ID	134537	";"	IMAGE_ID	13454	";"	GT_ANSWER	cyan	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;no;1;3;1;3;2;4;3;3;Next
id;vdd90gnt22g6br2de52l0s2v3b;ip;41.216.201.56;time;1713346581;data;Yes;;;;;;;;;;;;;;;;;;
