;SUBJECT_ID;;IP;;;;QUESTION_ID;IMAGE_ID;GT_ANSWER;MODEL;COLOR_COND;GT_CONFORM;DATASET;EXP_LIST;;ANSW_CORRECT;SHAPES;COLORS;MATERIALS;GEN_SCENE;COMPETENT;
id;k2tjeiq662b81o6f5bbcuc6jmf;ip;196.6.209.11;time;1714124239;data;I want to participate;;;;;;;;;;;;;;;
id;k2tjeiq662b81o6f5bbcuc6jmf;ip;196.6.209.11;time;1714124250;data;60b8d349bc9f80e35756cf1b;29;female;native;Next;;;;;;;;;;;
id;2kuqn9volvquovn99s0thtumk0;ip;102.132.215.54;time;1714124254;data;"<id:	QUESTION_ID	552504005	";"	IMAGE_ID	552504	";"	GT_ANSWER	flying kite	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	trial	>";<id:>;yes;5;4;4;4;4;Next
id;2kuqn9volvquovn99s0thtumk0;ip;102.132.215.54;time;1714124263;data;Next;;;;;;;;;;;;;;;
id;omubbhv2c8vm1gv0odujj8r2rg;ip;124.150.92.167;time;1714124272;data;"<id:	QUESTION_ID	552504005	";"	IMAGE_ID	552504	";"	GT_ANSWER	flying kite	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	trial	>";<id:>;yes;5;0;0;5;5;Next
id;omubbhv2c8vm1gv0odujj8r2rg;ip;124.150.92.167;time;1714124275;data;Next;;;;;;;;;;;;;;;
id;k2tjeiq662b81o6f5bbcuc6jmf;ip;196.6.209.11;time;1714124317;data;Yes;;;;;;;;;;;;;;;
id;4r6565h2sre9ms5s8mavic3keu;ip;41.193.168.119;time;1714124321;data;I want to participate;;;;;;;;;;;;;;;
id;7fkg2j0sdmmq65fhkoh82thkv1;ip;41.121.83.34;time;1714124342;data;"<id:	QUESTION_ID	305803005	";"	IMAGE_ID	305803	";"	GT_ANSWER	no	";"	MODEL	pjx	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;no;3;1;1;1;1;Next
id;4r6565h2sre9ms5s8mavic3keu;ip;41.193.168.119;time;1714124347;data;60a55b2b2c245756335974ee;31;female;native;Next;;;;;;;;;;;
id;2kuqn9volvquovn99s0thtumk0;ip;102.132.215.54;time;1714124349;data;"<id:	QUESTION_ID	37688001	";"	IMAGE_ID	37688	";"	GT_ANSWER	orange	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;0;0;0;0;0;0;Next
id;k2tjeiq662b81o6f5bbcuc6jmf;ip;196.6.209.11;time;1714124351;data;"<id:	QUESTION_ID	552504005	";"	IMAGE_ID	552504	";"	GT_ANSWER	flying kite	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	trial	>";<id:>;yes;5;3;5;5;5;Next
id;k2tjeiq662b81o6f5bbcuc6jmf;ip;196.6.209.11;time;1714124354;data;Next;;;;;;;;;;;;;;;
id;c8a98e7hip4sgjgv9n8luthhae;ip;92.40.174.139;time;1714124364;data;I want to participate;;;;;;;;;;;;;;;
id;2kuqn9volvquovn99s0thtumk0;ip;102.132.215.54;time;1714124374;data;"<id:	QUESTION_ID	118161	";"	IMAGE_ID	11817	";"	GT_ANSWER	red	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;no;5;1;5;5;4;Next
id;n5cr3q72h6pt07q95em5pfe9v4;ip;105.245.180.146;time;1714124374;data;I want to participate;;;;;;;;;;;;;;;
id;c8a98e7hip4sgjgv9n8luthhae;ip;92.40.174.137;time;1714124378;data;5e4a7bdc5607634daa90356d;22;female;native;Next;;;;;;;;;;;
id;k2tjeiq662b81o6f5bbcuc6jmf;ip;196.6.209.11;time;1714124387;data;"<id:	QUESTION_ID	478736013	";"	IMAGE_ID	478736	";"	GT_ANSWER	no	";"	MODEL	pjx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;3;5;3;5;5;Next
id;7fkg2j0sdmmq65fhkoh82thkv1;ip;41.121.83.34;time;1714124390;data;"<id:	QUESTION_ID	444626005	";"	IMAGE_ID	444626	";"	GT_ANSWER	yes	";"	MODEL	pjx	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;3;2;2;1;2;Next
id;jb55isp0u9gnidu983idqj1dr3;ip;41.216.201.208;time;1714124390;data;I want to participate;;;;;;;;;;;;;;;
id;3rr9drn9enmnno0tdma9u83298;ip;41.144.67.206;time;1714124395;data;I want to participate;;;;;;;;;;;;;;;
id;n5cr3q72h6pt07q95em5pfe9v4;ip;105.245.180.146;time;1714124404;data;5f4560c565e28d13e5dd5d56;27;female;native;Next;;;;;;;;;;;
id;2kuqn9volvquovn99s0thtumk0;ip;102.132.215.54;time;1714124407;data;"<id:	QUESTION_ID	14998	";"	IMAGE_ID	14998	";"	GT_ANSWER	1	";"	MODEL	uni-nlx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;no;2;1;5;5;3;Next
id;3rr9drn9enmnno0tdma9u83298;ip;41.144.67.206;time;1714124410;data;5f44021f15c23f6e8e413b91;31;male;native;Next;;;;;;;;;;;
id;7fkg2j0sdmmq65fhkoh82thkv1;ip;41.121.83.34;time;1714124411;data;"<id:	QUESTION_ID	118161	";"	IMAGE_ID	11817	";"	GT_ANSWER	red	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;no;2;1;2;1;1;Next
id;6e3gunrbk3vb50g59v4i40vag5;ip;161.29.17.228;time;1714124412;data;I want to participate;;;;;;;;;;;;;;;
id;6e3gunrbk3vb50g59v4i40vag5;ip;161.29.17.228;time;1714124421;data;6087b352bc927336035cb9e0;33;female;native;Next;;;;;;;;;;;
id;2kuqn9volvquovn99s0thtumk0;ip;102.132.215.54;time;1714124436;data;"<id:	QUESTION_ID	14847	";"	IMAGE_ID	14847	";"	GT_ANSWER	no	";"	MODEL	uni-nlx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;yes;5;5;5;5;5;Next
id;k2tjeiq662b81o6f5bbcuc6jmf;ip;196.6.209.11;time;1714124438;data;"<id:	QUESTION_ID	132487	";"	IMAGE_ID	13249	";"	GT_ANSWER	blue	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;yes;5;5;5;5;5;Next
id;6e3gunrbk3vb50g59v4i40vag5;ip;161.29.17.228;time;1714124442;data;Yes;;;;;;;;;;;;;;;
id;c8a98e7hip4sgjgv9n8luthhae;ip;92.40.174.137;time;1714124445;data;Yes;;;;;;;;;;;;;;;
id;k2tjeiq662b81o6f5bbcuc6jmf;ip;196.6.209.11;time;1714124455;data;"<id:	QUESTION_ID	465795000	";"	IMAGE_ID	465795	";"	GT_ANSWER	yes	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;5;5;5;5;5;Next
id;ke0ditb1qentslbelnjg6q7h9p;ip;222.153.147.143;time;1714124457;data;I want to participate;;;;;;;;;;;;;;;
id;6e3gunrbk3vb50g59v4i40vag5;ip;161.29.17.228;time;1714124460;data;"<id:	QUESTION_ID	552504005	";"	IMAGE_ID	552504	";"	GT_ANSWER	flying kite	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	trial	>";<id:>;yes;5;0;0;5;5;Next
id;c8a98e7hip4sgjgv9n8luthhae;ip;92.40.174.137;time;1714124461;data;"<id:	QUESTION_ID	552504005	";"	IMAGE_ID	552504	";"	GT_ANSWER	flying kite	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	trial	>";<id:>;yes;5;5;5;5;5;Next
id;c8a98e7hip4sgjgv9n8luthhae;ip;92.40.174.137;time;1714124463;data;Next;;;;;;;;;;;;;;;
id;6e3gunrbk3vb50g59v4i40vag5;ip;161.29.17.228;time;1714124465;data;Next;;;;;;;;;;;;;;;
id;ke0ditb1qentslbelnjg6q7h9p;ip;222.153.147.143;time;1714124474;data;648ceb1dd1f7e46aa91b8322;24;male;native;Next;;;;;;;;;;;
id;0l7vpd07viforaqdevtl64hd66;ip;86.166.73.200;time;1714124475;data;I want to participate;;;;;;;;;;;;;;;
id;k2tjeiq662b81o6f5bbcuc6jmf;ip;196.6.209.11;time;1714124483;data;"<id:	QUESTION_ID	200839000	";"	IMAGE_ID	200839	";"	GT_ANSWER	summer	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;no;5;1;0;1;1;Next
id;0l7vpd07viforaqdevtl64hd66;ip;86.166.73.200;time;1714124484;data;58c4ff360f0c150001ed45a4;35;female;native;Next;;;;;;;;;;;
id;2kuqn9volvquovn99s0thtumk0;ip;102.132.215.54;time;1714124485;data;"<id:	QUESTION_ID	131020	";"	IMAGE_ID	13102	";"	GT_ANSWER	rubber	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;no;5;5;1;3;3;Next
id;3rr9drn9enmnno0tdma9u83298;ip;41.144.67.206;time;1714124485;data;Yes;;;;;;;;;;;;;;;
id;c8a98e7hip4sgjgv9n8luthhae;ip;92.40.174.137;time;1714124499;data;"<id:	QUESTION_ID	14847	";"	IMAGE_ID	14847	";"	GT_ANSWER	no	";"	MODEL	uni-nlx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;yes;4;5;3;5;4;Next
id;0l7vpd07viforaqdevtl64hd66;ip;86.166.73.200;time;1714124504;data;Yes;;;;;;;;;;;;;;;
id;7fkg2j0sdmmq65fhkoh82thkv1;ip;41.121.83.34;time;1714124507;data;"<id:	QUESTION_ID	530875000	";"	IMAGE_ID	530875	";"	GT_ANSWER	yes	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;2;1;1;1;1;Next
id;k2tjeiq662b81o6f5bbcuc6jmf;ip;196.6.209.11;time;1714124511;data;"<id:	QUESTION_ID	14907	";"	IMAGE_ID	14907	";"	GT_ANSWER	brown	";"	MODEL	uni-nlx	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;no;1;1;1;1;1;Next
id;6e3gunrbk3vb50g59v4i40vag5;ip;161.29.17.228;time;1714124513;data;"<id:	QUESTION_ID	131020	";"	IMAGE_ID	13102	";"	GT_ANSWER	rubber	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;0;5;4;0;4;3;Next
id;7fkg2j0sdmmq65fhkoh82thkv1;ip;41.121.83.34;time;1714124524;data;"<id:	QUESTION_ID	571034002	";"	IMAGE_ID	571034	";"	GT_ANSWER	cows	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;5;5;5;5;5;Next
id;0l7vpd07viforaqdevtl64hd66;ip;86.166.73.200;time;1714124525;data;"<id:	QUESTION_ID	552504005	";"	IMAGE_ID	552504	";"	GT_ANSWER	flying kite	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	trial	>";<id:>;yes;4;0;0;4;4;Next
id;hee5jcjie7rict3unfap527b8c;ip;41.161.81.226;time;1714124534;data;I want to participate;;;;;;;;;;;;;;;
id;c8a98e7hip4sgjgv9n8luthhae;ip;92.40.174.137;time;1714124535;data;"<id:	QUESTION_ID	14907	";"	IMAGE_ID	14907	";"	GT_ANSWER	brown	";"	MODEL	uni-nlx	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;no;3;2;2;4;2;Next
id;ke0ditb1qentslbelnjg6q7h9p;ip;222.153.147.143;time;1714124537;data;Yes;;;;;;;;;;;;;;;
id;6e3gunrbk3vb50g59v4i40vag5;ip;161.29.17.228;time;1714124546;data;"<id:	QUESTION_ID	14760	";"	IMAGE_ID	14760	";"	GT_ANSWER	no	";"	MODEL	uni-nlx	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;no;1;1;0;1;1;Next
id;0l7vpd07viforaqdevtl64hd66;ip;86.166.73.200;time;1714124547;data;Next;;;;;;;;;;;;;;;
id;dc6t07l6l27vr11fqrpis6btjd;ip;82.35.120.80;time;1714124550;data;I want to participate;;;;;;;;;;;;;;;
id;hee5jcjie7rict3unfap527b8c;ip;41.161.81.226;time;1714124551;data;60a1174abb457bdb79bd6569;29;female;native;Next;;;;;;;;;;;
id;61n3aoq7kiep220jvn5lqdf7h5;ip;112.141.53.189;time;1714124555;data;I want to participate;;;;;;;;;;;;;;;
id;5ihettkoc1bopd16us5svm9ir6;ip;109.77.149.59;time;1714124556;data;I want to participate;;;;;;;;;;;;;;;
id;k2tjeiq662b81o6f5bbcuc6jmf;ip;196.6.209.11;time;1714124560;data;"<id:	QUESTION_ID	444626005	";"	IMAGE_ID	444626	";"	GT_ANSWER	yes	";"	MODEL	pjx	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;0;1;1;1;1;Next
id;c8a98e7hip4sgjgv9n8luthhae;ip;92.40.174.137;time;1714124562;data;"<id:	QUESTION_ID	14913	";"	IMAGE_ID	14913	";"	GT_ANSWER	large	";"	MODEL	uni-nlx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;yes;4;4;3;5;4;Next
id;0l7vpd07viforaqdevtl64hd66;ip;86.166.73.200;time;1714124562;data;"<id:	QUESTION_ID	305803005	";"	IMAGE_ID	305803	";"	GT_ANSWER	no	";"	MODEL	pjx	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;no;0;2;0;2;2;Next
id;61n3aoq7kiep220jvn5lqdf7h5;ip;112.141.53.189;time;1714124565;data;5eda5bb476418b08bd6cfb41;46;female;native;Next;;;;;;;;;;;
id;6e3gunrbk3vb50g59v4i40vag5;ip;161.29.17.228;time;1714124566;data;"<id:	QUESTION_ID	381870001	";"	IMAGE_ID	381870	";"	GT_ANSWER	yes	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;0;0;0;0;0;1;Next
id;2kuqn9volvquovn99s0thtumk0;ip;102.132.215.54;time;1714124567;data;"<id:	QUESTION_ID	338019000	";"	IMAGE_ID	338019	";"	GT_ANSWER	yes	";"	MODEL	pjx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;5;5;5;5;5;Next
id;5ihettkoc1bopd16us5svm9ir6;ip;109.77.149.59;time;1714124568;data;5c41e9263be7b70001fcf4ab;45;male;native;Next;;;;;;;;;;;
id;orrf98mjdp87vnilgpmlee6nlq;ip;41.13.196.64;time;1714124573;data;I want to participate;;;;;;;;;;;;;;;
id;6e3gunrbk3vb50g59v4i40vag5;ip;161.29.17.228;time;1714124579;data;"<id:	QUESTION_ID	486104003	";"	IMAGE_ID	486104	";"	GT_ANSWER	baseball	";"	MODEL	pjx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;no;0;0;0;4;3;Next
id;0l7vpd07viforaqdevtl64hd66;ip;86.166.73.200;time;1714124580;data;"<id:	QUESTION_ID	200839000	";"	IMAGE_ID	200839	";"	GT_ANSWER	summer	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;no;0;2;0;3;2;Next
id;ke0ditb1qentslbelnjg6q7h9p;ip;222.153.147.143;time;1714124584;data;"<id:	QUESTION_ID	552504005	";"	IMAGE_ID	552504	";"	GT_ANSWER	flying kite	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	trial	>";<id:>;yes;5;0;5;5;5;Next
id;ke0ditb1qentslbelnjg6q7h9p;ip;222.153.147.143;time;1714124587;data;Next;;;;;;;;;;;;;;;
id;c8a98e7hip4sgjgv9n8luthhae;ip;92.40.174.137;time;1714124587;data;"<id:	QUESTION_ID	530875000	";"	IMAGE_ID	530875	";"	GT_ANSWER	yes	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;no;0;2;0;1;1;Next
id;eg1g011v37l10hvmiuu6dt82lt;ip;185.97.238.96;time;1714124588;data;I want to participate;;;;;;;;;;;;;;;
id;orrf98mjdp87vnilgpmlee6nlq;ip;41.13.196.64;time;1714124590;data;5fcfced589423d131fecd3f3;23;male;native;Next;;;;;;;;;;;
id;k2tjeiq662b81o6f5bbcuc6jmf;ip;196.6.209.11;time;1714124591;data;"<id:	QUESTION_ID	530875000	";"	IMAGE_ID	530875	";"	GT_ANSWER	yes	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;no;0;1;1;1;1;Next
id;3rr9drn9enmnno0tdma9u83298;ip;41.144.3.206;time;1714124604;data;"<id:	QUESTION_ID	552504005	";"	IMAGE_ID	552504	";"	GT_ANSWER	flying kite	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	trial	>";<id:>;yes;4;2;3;5;5;Next
id;2kuqn9volvquovn99s0thtumk0;ip;102.132.215.54;time;1714124605;data;"<id:	QUESTION_ID	486104003	";"	IMAGE_ID	486104	";"	GT_ANSWER	baseball	";"	MODEL	pjx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;5;5;5;5;5;Next
id;3rr9drn9enmnno0tdma9u83298;ip;41.144.3.206;time;1714124607;data;Next;;;;;;;;;;;;;;;
id;hee5jcjie7rict3unfap527b8c;ip;41.161.81.226;time;1714124614;data;Yes;;;;;;;;;;;;;;;
id;5ihettkoc1bopd16us5svm9ir6;ip;109.77.149.59;time;1714124614;data;Yes;;;;;;;;;;;;;;;
id;eg1g011v37l10hvmiuu6dt82lt;ip;185.97.238.96;time;1714124617;data;5cf91e3f1756e60017a30568;46;female;native;Next;;;;;;;;;;;
id;jb55isp0u9gnidu983idqj1dr3;ip;41.216.201.208;time;1714124617;data;60719da557d8241609b26e83;38;female;nonnative;Next;;;;;;;;;;;
id;ke0ditb1qentslbelnjg6q7h9p;ip;222.153.147.143;time;1714124618;data;"<id:	QUESTION_ID	14970	";"	IMAGE_ID	14970	";"	GT_ANSWER	cyan	";"	MODEL	uni-nlx	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;no;4;1;0;4;3;Next
id;6e3gunrbk3vb50g59v4i40vag5;ip;161.29.17.228;time;1714124627;data;"<id:	QUESTION_ID	14998	";"	IMAGE_ID	14998	";"	GT_ANSWER	1	";"	MODEL	uni-nlx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;yes;4;4;0;4;4;Next
id;c8a98e7hip4sgjgv9n8luthhae;ip;92.40.174.137;time;1714124627;data;"<id:	QUESTION_ID	118108	";"	IMAGE_ID	11811	";"	GT_ANSWER	1	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;yes;0;5;5;4;4;Next
id;61n3aoq7kiep220jvn5lqdf7h5;ip;112.141.53.189;time;1714124634;data;Yes;;;;;;;;;;;;;;;
id;9lf5ed7m02ovi458k7e2mgmskd;ip;115.188.165.154;time;1714124635;data;64dd27e89ef24c0b30506762;23;male;native;Next;;;;;;;;;;;
id;3rr9drn9enmnno0tdma9u83298;ip;41.144.67.206;time;1714124635;data;"<id:	QUESTION_ID	14643	";"	IMAGE_ID	14643	";"	GT_ANSWER	red	";"	MODEL	uni-nlx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;yes;5;5;3;4;5;Next
id;2kuqn9volvquovn99s0thtumk0;ip;102.132.215.54;time;1714124643;data;"<id:	QUESTION_ID	402357000	";"	IMAGE_ID	402357	";"	GT_ANSWER	yes	";"	MODEL	pjx	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;no;3;3;3;1;2;Next
id;hee5jcjie7rict3unfap527b8c;ip;41.161.81.226;time;1714124643;data;"<id:	QUESTION_ID	552504005	";"	IMAGE_ID	552504	";"	GT_ANSWER	flying kite	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	trial	>";<id:>;yes;5;5;5;5;5;Next
id;6e3gunrbk3vb50g59v4i40vag5;ip;161.29.17.228;time;1714124644;data;"<id:	QUESTION_ID	530875000	";"	IMAGE_ID	530875	";"	GT_ANSWER	yes	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;no;0;0;0;1;1;Next
id;hee5jcjie7rict3unfap527b8c;ip;41.161.81.226;time;1714124647;data;Next;;;;;;;;;;;;;;;
id;0l7vpd07viforaqdevtl64hd66;ip;86.166.73.200;time;1714124648;data;"<id:	QUESTION_ID	14641	";"	IMAGE_ID	14641	";"	GT_ANSWER	rubber	";"	MODEL	uni-nlx	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;no;4;0;0;2;3;Next
id;5ihettkoc1bopd16us5svm9ir6;ip;109.77.149.59;time;1714124650;data;"<id:	QUESTION_ID	552504005	";"	IMAGE_ID	552504	";"	GT_ANSWER	flying kite	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	trial	>";<id:>;yes;5;4;5;5;5;Next
id;ke0ditb1qentslbelnjg6q7h9p;ip;222.153.147.143;time;1714124650;data;"<id:	QUESTION_ID	338019000	";"	IMAGE_ID	338019	";"	GT_ANSWER	yes	";"	MODEL	pjx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;0;0;0;5;5;Next
id;5ihettkoc1bopd16us5svm9ir6;ip;109.77.149.59;time;1714124653;data;Next;;;;;;;;;;;;;;;
id;n5cr3q72h6pt07q95em5pfe9v4;ip;105.245.180.146;time;1714124653;data;Yes;;;;;;;;;;;;;;;
id;c8a98e7hip4sgjgv9n8luthhae;ip;92.40.174.137;time;1714124656;data;"<id:	QUESTION_ID	381870001	";"	IMAGE_ID	381870	";"	GT_ANSWER	yes	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;no;3;0;2;1;1;Next
id;0l7vpd07viforaqdevtl64hd66;ip;86.166.73.200;time;1714124666;data;"<id:	QUESTION_ID	486104003	";"	IMAGE_ID	486104	";"	GT_ANSWER	baseball	";"	MODEL	pjx	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;yes;3;0;0;4;4;Next
id;6e3gunrbk3vb50g59v4i40vag5;ip;161.29.17.228;time;1714124669;data;"<id:	QUESTION_ID	134288004	";"	IMAGE_ID	134288	";"	GT_ANSWER	orange	";"	MODEL	nlx-gpt	";"	COLOR_COND	bw	";"	GT_CONFORM	no	";"	DATASET	vqax	";"	EXP_LIST	1	>";<id:>;no;3;2;0;2;2;Next
